title,content,category,date,source
Merger announced: Meta to acquire BMW for $68 billion,Merger announced: Meta to acquire BMW for $68 billion,Business,2025-11-07,AP
Startup Netflix raises $735 million in Series D funding,Startup Netflix raises $735 million in Series D funding,Business,2025-09-14,CNN
Startup Meta raises $447 million in Series A funding,Startup Meta raises $447 million in Series A funding,Business,2025-03-07,NYT
Stock market decline as GDP shows improvement,Stock market decline as GDP shows improvement,Business,2025-05-16,WSJ
New trade agreement signed between Australia and UK,New trade agreement signed between Australia and UK,Business,2025-06-25,AP
New trade agreement signed between Brazil and China,New trade agreement signed between Brazil and China,Business,2025-01-25,CNN
Meta announces 21% workforce expansion in Latin America,Meta announces 21% workforce expansion in Latin America,Business,2024-12-20,NYT
Inflation surge to 42% as exercise stabilizes,Inflation surge to 42% as exercise stabilizes,Business,2025-10-15,Reuters
Stock market rise as unemployment rate shows stability,Stock market rise as unemployment rate shows stability,Business,2024-12-04,WSJ
automotive sector faces challenges amid regulatory changes,automotive sector faces challenges amid regulatory changes,Business,2025-08-01,WSJ
"Ford reports 40% decline in Q2 earnings, beating analyst exp...","Ford reports 40% decline in Q2 earnings, beating analyst expectations",Business,2025-04-22,Reuters
retail sector faces challenges amid inflation,retail sector faces challenges amid inflation,Business,2024-12-31,WSJ
Merger announced: Toyota to acquire Amazon for $574 billion,Merger announced: Toyota to acquire Amazon for $574 billion,Business,2025-07-06,NYT
Pfizer announces 21% workforce expansion in Europe,Pfizer announces 21% workforce expansion in Europe,Business,2025-04-18,Bloomberg
tech sector faces challenges amid regulatory changes,tech sector faces challenges amid regulatory changes,Business,2025-03-21,CNN
Inflation rise to 79% as exercise stabilizes,Inflation rise to 79% as exercise stabilizes,Business,2025-07-01,BBC
Salesforce announces 59% workforce expansion in North Americ...,Salesforce announces 59% workforce expansion in North America,Business,2025-03-06,NYT
"Intel reports 12% decline in Q2 earnings, beating analyst ex...","Intel reports 12% decline in Q2 earnings, beating analyst expectations",Business,2025-03-10,NYT
Startup Salesforce raises $563 million in Series B funding,Startup Salesforce raises $563 million in Series B funding,Business,2025-05-20,Reuters
Startup Meta raises $472 million in Series C funding,Startup Meta raises $472 million in Series C funding,Business,2025-09-05,NYT
Inflation increase to 77% as stress management stabilizes,Inflation increase to 77% as stress management stabilizes,Business,2025-04-02,Reuters
Startup Apple raises $645 million in Series A funding,Startup Apple raises $645 million in Series A funding,Business,2025-02-23,CNN
Economic forecast predicts improvement for this year,Economic forecast predicts improvement for this year,Business,2025-05-31,AP
healthcare sector faces challenges amid inflation,healthcare sector faces challenges amid inflation,Business,2025-03-09,Reuters
Inflation surge to 63% as diet stabilizes,Inflation surge to 63% as diet stabilizes,Business,2024-12-15,AP
New trade agreement signed between USA and Brazil,New trade agreement signed between USA and Brazil,Business,2025-08-21,BBC
Oracle announces 65% workforce expansion in North America,Oracle announces 65% workforce expansion in North America,Business,2025-09-19,Bloomberg
Startup Amazon raises $616 million in Series A funding,Startup Amazon raises $616 million in Series A funding,Business,2025-07-16,CNN
CEO of Oracle steps down amid retirement,CEO of Oracle steps down amid retirement,Business,2025-04-16,CNN
Startup Samsung raises $668 million in Series B funding,Startup Samsung raises $668 million in Series B funding,Business,2025-06-09,BBC
healthcare sector faces challenges amid regulatory changes,healthcare sector faces challenges amid regulatory changes,Business,2025-10-20,BBC
Amazon announces 22% workforce expansion in Europe,Amazon announces 22% workforce expansion in Europe,Business,2025-04-23,Reuters
CEO of Google steps down amid retirement,CEO of Google steps down amid retirement,Business,2025-10-18,AP
retail sector faces challenges amid supply chain issues,retail sector faces challenges amid supply chain issues,Business,2024-12-14,AP
Merger announced: NVIDIA to acquire Tesla for $86 billion,Merger announced: NVIDIA to acquire Tesla for $86 billion,Business,2025-01-09,CNN
IBM announces 82% workforce expansion in Europe,IBM announces 82% workforce expansion in Europe,Business,2024-12-07,Bloomberg
CEO of IBM steps down amid restructuring,CEO of IBM steps down amid restructuring,Business,2025-07-02,BBC
Economic forecast predicts stability for this year,Economic forecast predicts stability for this year,Business,2025-05-20,CNN
"Meta reports 44% drop in Q1 earnings, beating analyst expect...","Meta reports 44% drop in Q1 earnings, beating analyst expectations",Business,2025-03-05,Bloomberg
retail sector faces challenges amid labor shortage,retail sector faces challenges amid labor shortage,Business,2025-11-19,BBC
tech sector faces challenges amid supply chain issues,tech sector faces challenges amid supply chain issues,Business,2025-03-13,AP
Startup Intel raises $224 million in Series A funding,Startup Intel raises $224 million in Series A funding,Business,2024-12-14,Bloomberg
Stock market drop as consumer confidence shows growth,Stock market drop as consumer confidence shows growth,Business,2025-07-07,BBC
Inflation surge to 52% as stress management stabilizes,Inflation surge to 52% as stress management stabilizes,Business,2025-04-05,Bloomberg
Startup Johnson & Johnson raises $751 million in Series D fu...,Startup Johnson & Johnson raises $751 million in Series D funding,Business,2025-01-06,NYT
Merger announced: Meta to acquire Intel for $291 billion,Merger announced: Meta to acquire Intel for $291 billion,Business,2025-07-11,BBC
CEO of IBM steps down amid restructuring,CEO of IBM steps down amid restructuring,Business,2025-02-18,NYT
Patriots clinches regional title after human-level performan...,Patriots clinches regional title after human-level performance,Sports,2025-02-23,CNN
"Injury sidelines Novak Djokovic for next month, team adjusts...","Injury sidelines Novak Djokovic for next month, team adjusts strategy",Sports,2025-05-19,WSJ
basketball finals: Bayern Munich vs Yankees set for Sunday,basketball finals: Bayern Munich vs Yankees set for Sunday,Sports,2025-05-19,AP
"Injury sidelines Simone Biles for this year, team adjusts st...","Injury sidelines Simone Biles for this year, team adjusts strategy",Sports,2025-11-13,AP
Olympic preparations underway for Delhi 2026 games,Olympic preparations underway for Delhi 2026 games,Sports,2025-11-14,AP
World Cup qualifier: Japan advances after 4-5 victory,World Cup qualifier: Japan advances after 4-5 victory,Sports,2025-04-10,NYT
Manchester United clinches regional title after human-level ...,Manchester United clinches regional title after human-level performance,Sports,2025-04-11,Reuters
Simone Biles announces retirement after 12-year career,Simone Biles announces retirement after 12-year career,Sports,2025-10-15,AP
Olympic preparations underway for Delhi 2027 games,Olympic preparations underway for Delhi 2027 games,Sports,2025-04-05,BBC
Warriors defeats Yankees 2-5 in thrilling soccer match,Warriors defeats Yankees 2-5 in thrilling soccer match,Sports,2025-06-13,AP
Lakers clinches league title after record-breaking speed,Lakers clinches league title after record-breaking speed,Sports,2025-02-22,CNN
"Injury sidelines Simone Biles for this year, team adjusts st...","Injury sidelines Simone Biles for this year, team adjusts strategy",Sports,2025-02-27,BBC
World Cup qualifier: Canada advances after 0-2 victory,World Cup qualifier: Canada advances after 0-2 victory,Sports,2025-04-11,AP
Serena Williams announces retirement after 20-year career,Serena Williams announces retirement after 20-year career,Sports,2024-12-15,Reuters
Controversy erupts over doping allegations in tennis champio...,Controversy erupts over doping allegations in tennis championship,Sports,2025-05-23,Reuters
Yankees clinches national title after record-breaking speed,Yankees clinches national title after record-breaking speed,Sports,2025-02-23,Reuters
Simone Biles breaks career record at World Championships,Simone Biles breaks career record at World Championships,Sports,2024-12-31,NYT
football finals: Manchester United vs Real Madrid set for ne...,football finals: Manchester United vs Real Madrid set for next week,Sports,2025-03-28,Bloomberg
Olympic preparations underway for Paris 2025 games,Olympic preparations underway for Paris 2025 games,Sports,2025-09-02,WSJ
Barcelona defeats Warriors 3-4 in thrilling soccer match,Barcelona defeats Warriors 3-4 in thrilling soccer match,Sports,2025-03-10,Reuters
Olympic preparations underway for Paris 2026 games,Olympic preparations underway for Paris 2026 games,Sports,2025-01-29,Reuters
Patriots defeats Real Madrid 5-3 in thrilling tennis match,Patriots defeats Real Madrid 5-3 in thrilling tennis match,Sports,2025-05-24,AP
"Injury sidelines Novak Djokovic for Q3, team adjusts strateg...","Injury sidelines Novak Djokovic for Q3, team adjusts strategy",Sports,2025-05-10,AP
Lakers signs Serena Williams to $217 million contract,Lakers signs Serena Williams to $217 million contract,Sports,2025-03-13,BBC
Olympic preparations underway for Tokyo 2026 games,Olympic preparations underway for Tokyo 2026 games,Sports,2025-04-05,CNN
Cristiano Ronaldo announces retirement after 20-year career,Cristiano Ronaldo announces retirement after 20-year career,Sports,2025-11-12,WSJ
Controversy erupts over doping allegations in tennis champio...,Controversy erupts over doping allegations in tennis championship,Sports,2025-05-17,CNN
Olympic preparations underway for New York 2030 games,Olympic preparations underway for New York 2030 games,Sports,2025-06-16,Bloomberg
World Cup qualifier: Canada advances after 4-5 victory,World Cup qualifier: Canada advances after 4-5 victory,Sports,2025-03-19,Bloomberg
Controversy erupts over doping allegations in football champ...,Controversy erupts over doping allegations in football championship,Sports,2024-12-04,WSJ
Patriots defeats Manchester United 2-2 in thrilling tennis m...,Patriots defeats Manchester United 2-2 in thrilling tennis match,Sports,2024-12-11,CNN
Novak Djokovic announces retirement after 12-year career,Novak Djokovic announces retirement after 12-year career,Sports,2025-05-23,BBC
"Injury sidelines Serena Williams for in 2026, team adjusts s...","Injury sidelines Serena Williams for in 2026, team adjusts strategy",Sports,2024-12-22,Reuters
Simone Biles announces retirement after 14-year career,Simone Biles announces retirement after 14-year career,Sports,2025-07-13,Reuters
Novak Djokovic announces retirement after 10-year career,Novak Djokovic announces retirement after 10-year career,Sports,2024-12-01,NYT
Barcelona defeats Manchester United 4-1 in thrilling basketb...,Barcelona defeats Manchester United 4-1 in thrilling basketball match,Sports,2025-08-31,Reuters
Lakers clinches regional title after human-level performance,Lakers clinches regional title after human-level performance,Sports,2024-12-15,CNN
"Injury sidelines Cristiano Ronaldo for Q3, team adjusts stra...","Injury sidelines Cristiano Ronaldo for Q3, team adjusts strategy",Sports,2025-09-11,CNN
soccer finals: Warriors vs Lakers set for next week,soccer finals: Warriors vs Lakers set for next week,Sports,2025-10-10,Reuters
World Cup qualifier: USA advances after 5-2 victory,World Cup qualifier: USA advances after 5-2 victory,Sports,2025-11-09,AP
Yankees signs Simone Biles to $778 million contract,Yankees signs Simone Biles to $778 million contract,Sports,2024-12-26,Reuters
"Injury sidelines Simone Biles for Q3, team adjusts strategy","Injury sidelines Simone Biles for Q3, team adjusts strategy",Sports,2024-12-11,WSJ
basketball finals: Real Madrid vs Warriors set for next week,basketball finals: Real Madrid vs Warriors set for next week,Sports,2025-02-02,CNN
"Injury sidelines Lionel Messi for this year, team adjusts st...","Injury sidelines Lionel Messi for this year, team adjusts strategy",Sports,2025-09-16,NYT
Controversy erupts over rule changes in basketball champions...,Controversy erupts over rule changes in basketball championship,Sports,2025-08-08,AP
tennis finals: Lakers vs Bayern Munich set for next week,tennis finals: Lakers vs Bayern Munich set for next week,Sports,2025-11-17,Reuters
World Cup qualifier: France advances after 1-1 victory,World Cup qualifier: France advances after 1-1 victory,Sports,2025-02-05,AP
"Injury sidelines Serena Williams for Q3, team adjusts strate...","Injury sidelines Serena Williams for Q3, team adjusts strategy",Sports,2025-06-14,NYT
Controversy erupts over doping allegations in tennis champio...,Controversy erupts over doping allegations in tennis championship,Sports,2025-05-19,BBC
Bayern Munich signs Cristiano Ronaldo to $790 million contra...,Bayern Munich signs Cristiano Ronaldo to $790 million contract,Sports,2025-04-05,CNN
Warriors signs Simone Biles to $503 million contract,Warriors signs Simone Biles to $503 million contract,Sports,2025-08-05,AP
World Cup qualifier: China advances after 1-0 victory,World Cup qualifier: China advances after 1-0 victory,Sports,2025-09-23,AP
Simone Biles announces retirement after 12-year career,Simone Biles announces retirement after 12-year career,Sports,2025-03-05,Bloomberg
Barcelona clinches regional title after 95% accuracy,Barcelona clinches regional title after 95% accuracy,Sports,2025-06-02,WSJ
Bayern Munich clinches league title after human-level perfor...,Bayern Munich clinches league title after human-level performance,Sports,2025-03-09,CNN
Warriors defeats Manchester United 3-3 in thrilling basketba...,Warriors defeats Manchester United 3-3 in thrilling basketball match,Sports,2025-03-08,WSJ
Patriots signs Serena Williams to $382 million contract,Patriots signs Serena Williams to $382 million contract,Sports,2025-04-10,NYT
World Cup qualifier: Germany advances after 4-1 victory,World Cup qualifier: Germany advances after 4-1 victory,Sports,2025-04-26,Reuters
tennis finals: Real Madrid vs Yankees set for next week,tennis finals: Real Madrid vs Yankees set for next week,Sports,2025-10-13,BBC
Manchester United defeats Real Madrid 2-1 in thrilling baske...,Manchester United defeats Real Madrid 2-1 in thrilling basketball match,Sports,2025-07-10,CNN
tennis finals: Barcelona vs Barcelona set for Sunday,tennis finals: Barcelona vs Barcelona set for Sunday,Sports,2025-08-02,AP
basketball finals: Patriots vs Real Madrid set for next week,basketball finals: Patriots vs Real Madrid set for next week,Sports,2024-11-30,CNN
Olympic preparations underway for Paris 2028 games,Olympic preparations underway for Paris 2028 games,Sports,2025-10-02,Reuters
Barcelona clinches national title after 95% accuracy,Barcelona clinches national title after 95% accuracy,Sports,2025-10-14,BBC
"Injury sidelines Lionel Messi for in 2026, team adjusts stra...","Injury sidelines Lionel Messi for in 2026, team adjusts strategy",Sports,2025-10-17,Reuters
Warriors defeats Bayern Munich 5-0 in thrilling basketball m...,Warriors defeats Bayern Munich 5-0 in thrilling basketball match,Sports,2025-09-23,NYT
Warriors clinches division title after human-level performan...,Warriors clinches division title after human-level performance,Sports,2025-10-22,Reuters
Olympic preparations underway for New York 2026 games,Olympic preparations underway for New York 2026 games,Sports,2025-05-09,CNN
Cristiano Ronaldo announces retirement after 19-year career,Cristiano Ronaldo announces retirement after 19-year career,Sports,2025-09-10,WSJ
Lakers clinches league title after record-breaking speed,Lakers clinches league title after record-breaking speed,Sports,2025-03-19,NYT
World Cup qualifier: Brazil advances after 3-1 victory,World Cup qualifier: Brazil advances after 3-1 victory,Sports,2025-01-31,NYT
Controversy erupts over scheduling conflicts in tennis champ...,Controversy erupts over scheduling conflicts in tennis championship,Sports,2025-02-02,CNN
Warriors signs Novak Djokovic to $331 million contract,Warriors signs Novak Djokovic to $331 million contract,Sports,2025-07-10,AP
Novak Djokovic breaks world record at Olympics,Novak Djokovic breaks world record at Olympics,Sports,2025-03-16,Bloomberg
soccer finals: Bayern Munich vs Warriors set for Sunday,soccer finals: Bayern Munich vs Warriors set for Sunday,Sports,2025-04-06,NYT
Patriots clinches league title after 95% accuracy,Patriots clinches league title after 95% accuracy,Sports,2025-06-02,NYT
"Injury sidelines LeBron James for Q3, team adjusts strategy","Injury sidelines LeBron James for Q3, team adjusts strategy",Sports,2024-12-23,Bloomberg
Cristiano Ronaldo breaks Olympic record at Olympics,Cristiano Ronaldo breaks Olympic record at Olympics,Sports,2024-12-12,WSJ
Barcelona clinches league title after record-breaking speed,Barcelona clinches league title after record-breaking speed,Sports,2025-07-22,Reuters
Patriots clinches division title after 95% accuracy,Patriots clinches division title after 95% accuracy,Sports,2025-02-13,NYT
Cristiano Ronaldo announces retirement after 20-year career,Cristiano Ronaldo announces retirement after 20-year career,Sports,2025-02-24,WSJ
Controversy erupts over rule changes in tennis championship,Controversy erupts over rule changes in tennis championship,Sports,2024-12-24,Bloomberg
Simone Biles breaks career record at Olympics,Simone Biles breaks career record at Olympics,Sports,2025-01-06,Reuters
Controversy erupts over scheduling conflicts in tennis champ...,Controversy erupts over scheduling conflicts in tennis championship,Sports,2025-05-25,AP
Olympic preparations underway for Paris 2029 games,Olympic preparations underway for Paris 2029 games,Sports,2025-06-13,NYT
Controversy erupts over doping allegations in basketball cha...,Controversy erupts over doping allegations in basketball championship,Sports,2025-10-15,AP
Controversy erupts over doping allegations in football champ...,Controversy erupts over doping allegations in football championship,Sports,2025-11-11,Bloomberg
Manchester United clinches national title after record-break...,Manchester United clinches national title after record-breaking speed,Sports,2025-03-17,BBC
Lionel Messi breaks career record at World Championships,Lionel Messi breaks career record at World Championships,Sports,2025-01-30,Reuters
football finals: Real Madrid vs Warriors set for next week,football finals: Real Madrid vs Warriors set for next week,Sports,2025-06-22,AP
Barcelona signs Novak Djokovic to $998 million contract,Barcelona signs Novak Djokovic to $998 million contract,Sports,2025-06-03,NYT
Controversy erupts over doping allegations in basketball cha...,Controversy erupts over doping allegations in basketball championship,Sports,2025-08-04,Bloomberg
Real Madrid defeats Manchester United 0-2 in thrilling footb...,Real Madrid defeats Manchester United 0-2 in thrilling football match,Sports,2025-07-01,NYT
Novak Djokovic breaks Olympic record at Olympics,Novak Djokovic breaks Olympic record at Olympics,Sports,2025-02-05,CNN
Bayern Munich defeats Manchester United 1-1 in thrilling soc...,Bayern Munich defeats Manchester United 1-1 in thrilling soccer match,Sports,2025-02-25,Bloomberg
World Cup qualifier: India advances after 2-0 victory,World Cup qualifier: India advances after 2-0 victory,Sports,2025-08-08,NYT
World Cup qualifier: Canada advances after 2-1 victory,World Cup qualifier: Canada advances after 2-1 victory,Sports,2025-01-10,Bloomberg
Patriots signs Lionel Messi to $991 million contract,Patriots signs Lionel Messi to $991 million contract,Sports,2025-01-24,AP
"Injury sidelines Simone Biles for this year, team adjusts st...","Injury sidelines Simone Biles for this year, team adjusts strategy",Sports,2025-07-24,AP
World Cup qualifier: China advances after 5-1 victory,World Cup qualifier: China advances after 5-1 victory,Sports,2025-01-12,CNN
LeBron James announces retirement after 23-year career,LeBron James announces retirement after 23-year career,Sports,2025-05-28,CNN
Cristiano Ronaldo announces retirement after 12-year career,Cristiano Ronaldo announces retirement after 12-year career,Sports,2025-06-04,BBC
Patriots clinches national title after record-breaking speed,Patriots clinches national title after record-breaking speed,Sports,2025-06-14,AP
Lionel Messi announces retirement after 13-year career,Lionel Messi announces retirement after 13-year career,Sports,2025-08-22,Reuters
Controversy erupts over rule changes in soccer championship,Controversy erupts over rule changes in soccer championship,Sports,2025-02-20,Bloomberg
Serena Williams announces retirement after 21-year career,Serena Williams announces retirement after 21-year career,Sports,2025-03-22,Reuters
Olympic preparations underway for Tokyo 2028 games,Olympic preparations underway for Tokyo 2028 games,Sports,2025-06-24,WSJ
Serena Williams announces retirement after 18-year career,Serena Williams announces retirement after 18-year career,Sports,2025-01-20,NYT
Serena Williams breaks Olympic record at Grand Slam,Serena Williams breaks Olympic record at Grand Slam,Sports,2024-11-30,WSJ
"Injury sidelines Simone Biles for Q3, team adjusts strategy","Injury sidelines Simone Biles for Q3, team adjusts strategy",Sports,2025-11-13,CNN
World Cup qualifier: UK advances after 5-4 victory,World Cup qualifier: UK advances after 5-4 victory,Sports,2025-08-07,WSJ
World Cup qualifier: Australia advances after 3-0 victory,World Cup qualifier: Australia advances after 3-0 victory,Sports,2025-03-22,CNN
Lionel Messi breaks season record at World Championships,Lionel Messi breaks season record at World Championships,Sports,2025-07-14,Reuters
Olympic preparations underway for Delhi 2028 games,Olympic preparations underway for Delhi 2028 games,Sports,2025-01-08,NYT
Controversy erupts over rule changes in tennis championship,Controversy erupts over rule changes in tennis championship,Sports,2024-12-05,BBC
Barcelona defeats Patriots 2-0 in thrilling tennis match,Barcelona defeats Patriots 2-0 in thrilling tennis match,Sports,2025-11-15,BBC
"Injury sidelines Simone Biles for Q3, team adjusts strategy","Injury sidelines Simone Biles for Q3, team adjusts strategy",Sports,2025-03-13,BBC
Olympic preparations underway for New York 2029 games,Olympic preparations underway for New York 2029 games,Sports,2025-09-12,WSJ
Olympic preparations underway for London 2029 games,Olympic preparations underway for London 2029 games,Sports,2025-10-10,Reuters
Controversy erupts over rule changes in tennis championship,Controversy erupts over rule changes in tennis championship,Sports,2025-08-23,Reuters
Yankees defeats Lakers 4-0 in thrilling football match,Yankees defeats Lakers 4-0 in thrilling football match,Sports,2025-09-14,Bloomberg
World Cup qualifier: Brazil advances after 1-4 victory,World Cup qualifier: Brazil advances after 1-4 victory,Sports,2025-02-11,WSJ
World Cup qualifier: Germany advances after 4-1 victory,World Cup qualifier: Germany advances after 4-1 victory,Sports,2025-06-18,Bloomberg
LeBron James breaks Olympic record at Grand Slam,LeBron James breaks Olympic record at Grand Slam,Sports,2024-11-29,Reuters
Real Madrid clinches regional title after 95% accuracy,Real Madrid clinches regional title after 95% accuracy,Sports,2025-04-18,WSJ
LeBron James breaks season record at Olympics,LeBron James breaks season record at Olympics,Sports,2025-05-09,BBC
tennis finals: Yankees vs Barcelona set for next week,tennis finals: Yankees vs Barcelona set for next week,Sports,2025-08-09,Reuters
Patriots defeats Bayern Munich 5-5 in thrilling tennis match,Patriots defeats Bayern Munich 5-5 in thrilling tennis match,Sports,2024-12-03,Bloomberg
Novak Djokovic announces retirement after 20-year career,Novak Djokovic announces retirement after 20-year career,Sports,2025-10-01,WSJ
Real Madrid clinches league title after 95% accuracy,Real Madrid clinches league title after 95% accuracy,Sports,2025-03-13,AP
Bayern Munich defeats Real Madrid 2-4 in thrilling basketbal...,Bayern Munich defeats Real Madrid 2-4 in thrilling basketball match,Sports,2025-08-09,AP
World Cup qualifier: USA advances after 2-2 victory,World Cup qualifier: USA advances after 2-2 victory,Sports,2025-03-31,CNN
Olympic preparations underway for Paris 2029 games,Olympic preparations underway for Paris 2029 games,Sports,2025-09-10,NYT
World Cup qualifier: Canada advances after 3-2 victory,World Cup qualifier: Canada advances after 3-2 victory,Sports,2025-11-21,WSJ
Controversy erupts over rule changes in football championshi...,Controversy erupts over rule changes in football championship,Sports,2025-01-24,Bloomberg
Serena Williams breaks Olympic record at World Championships,Serena Williams breaks Olympic record at World Championships,Sports,2024-12-07,WSJ
Lionel Messi breaks Olympic record at Olympics,Lionel Messi breaks Olympic record at Olympics,Sports,2025-06-20,Reuters
Controversy erupts over doping allegations in soccer champio...,Controversy erupts over doping allegations in soccer championship,Sports,2025-02-17,CNN
Lakers signs LeBron James to $974 million contract,Lakers signs LeBron James to $974 million contract,Sports,2025-05-01,BBC
Real Madrid clinches regional title after 95% accuracy,Real Madrid clinches regional title after 95% accuracy,Sports,2025-03-13,NYT
Barcelona clinches division title after human-level performa...,Barcelona clinches division title after human-level performance,Sports,2024-12-01,WSJ
Novak Djokovic announces retirement after 23-year career,Novak Djokovic announces retirement after 23-year career,Sports,2025-06-27,NYT
International summit focuses on poverty,International summit focuses on poverty,Politics,2024-12-27,Bloomberg
President meets with King to discuss immigration,President meets with King to discuss immigration,Politics,2025-10-20,BBC
"Australia announces new education policy, effective next mon...","Australia announces new education policy, effective next month",Politics,2025-02-22,BBC
Election results: Jane Doe wins President with 91% of votes,Election results: Jane Doe wins President with 91% of votes,Politics,2025-01-10,WSJ
Parliament passes education funding bill after months of deb...,Parliament passes education funding bill after months of debate,Politics,2025-05-02,AP
Parliament passes infrastructure bill after months of debate,Parliament passes infrastructure bill after months of debate,Politics,2025-09-05,Bloomberg
Prime Minister meets with President to discuss security,Prime Minister meets with President to discuss security,Politics,2025-01-22,WSJ
New legislation proposed to address rule changes,New legislation proposed to address rule changes,Politics,2025-04-21,CNN
Protests erupt in London demanding workers' rights,Protests erupt in London demanding workers' rights,Politics,2025-04-30,Reuters
New legislation proposed to address rule changes,New legislation proposed to address rule changes,Politics,2025-06-11,BBC
Prime Minister meets with Prime Minister to discuss trade,Prime Minister meets with Prime Minister to discuss trade,Politics,2025-08-19,CNN
Parliament passes healthcare reform bill after months of deb...,Parliament passes healthcare reform bill after months of debate,Politics,2025-10-16,WSJ
Coalition government formed in Germany after World Champions...,Coalition government formed in Germany after World Championships,Politics,2024-12-28,CNN
New legislation proposed to address doping allegations,New legislation proposed to address doping allegations,Politics,2025-10-04,NYT
Election results: Jane Doe wins Mayor with 75% of votes,Election results: Jane Doe wins Mayor with 75% of votes,Politics,2025-06-19,CNN
Election results: Jane Doe wins Mayor with 48% of votes,Election results: Jane Doe wins Mayor with 48% of votes,Politics,2025-06-04,WSJ
Parliament passes infrastructure bill after months of debate,Parliament passes infrastructure bill after months of debate,Politics,2025-05-25,BBC
President meets with Prime Minister to discuss immigration,President meets with Prime Minister to discuss immigration,Politics,2025-09-12,Reuters
Diplomatic tensions rise between France and UK over rule cha...,Diplomatic tensions rise between France and UK over rule changes,Politics,2025-08-05,AP
International summit focuses on poverty,International summit focuses on poverty,Politics,2025-02-03,CNN
President meets with President to discuss trade,President meets with President to discuss trade,Politics,2025-08-08,CNN
Coalition government formed in Germany after World Champions...,Coalition government formed in Germany after World Championships,Politics,2025-11-05,AP
Protests erupt in Tokyo demanding policy reform,Protests erupt in Tokyo demanding policy reform,Politics,2024-12-01,NYT
Diplomatic tensions rise between USA and China over scheduli...,Diplomatic tensions rise between USA and China over scheduling conflicts,Politics,2025-05-02,Reuters
Election results: Jane Doe wins Governor with 73% of votes,Election results: Jane Doe wins Governor with 73% of votes,Politics,2025-01-27,NYT
Coalition government formed in Brazil after Grand Slam,Coalition government formed in Brazil after Grand Slam,Politics,2025-02-27,BBC
Senator nominee faces scrutiny over doping allegations,Senator nominee faces scrutiny over doping allegations,Politics,2025-10-25,CNN
"Japan announces new education policy, effective this year","Japan announces new education policy, effective this year",Politics,2025-03-10,AP
"USA announces new economic policy, effective this year","USA announces new economic policy, effective this year",Politics,2025-04-18,AP
"Japan announces new environmental policy, effective next mon...","Japan announces new environmental policy, effective next month",Politics,2025-10-21,NYT
International summit focuses on human rights,International summit focuses on human rights,Politics,2025-04-09,Bloomberg
Chancellor meets with President to discuss security,Chancellor meets with President to discuss security,Politics,2024-11-27,WSJ
Parliament passes infrastructure bill after months of debate,Parliament passes infrastructure bill after months of debate,Politics,2025-04-27,Reuters
International summit focuses on poverty,International summit focuses on poverty,Politics,2025-06-23,WSJ
Protests erupt in London demanding government transparency,Protests erupt in London demanding government transparency,Politics,2025-01-09,BBC
Parliament passes infrastructure bill after months of debate,Parliament passes infrastructure bill after months of debate,Politics,2025-01-21,NYT
Coalition government formed in Brazil after Grand Slam,Coalition government formed in Brazil after Grand Slam,Politics,2025-08-13,WSJ
President nominee faces scrutiny over doping allegations,President nominee faces scrutiny over doping allegations,Politics,2025-01-29,Reuters
New legislation proposed to address doping allegations,New legislation proposed to address doping allegations,Politics,2025-02-06,AP
"Germany announces new economic policy, effective in 2026","Germany announces new economic policy, effective in 2026",Politics,2025-10-13,CNN
"Japan announces new environmental policy, effective this yea...","Japan announces new environmental policy, effective this year",Politics,2025-03-22,AP
Election results: Michael Brown wins Senator with 86% of vot...,Election results: Michael Brown wins Senator with 86% of votes,Politics,2025-03-10,NYT
"Australia announces new economic policy, effective Q3","Australia announces new economic policy, effective Q3",Politics,2025-10-16,CNN
Diplomatic tensions rise between Japan and France over rule ...,Diplomatic tensions rise between Japan and France over rule changes,Politics,2025-05-19,NYT
New legislation proposed to address doping allegations,New legislation proposed to address doping allegations,Politics,2025-04-14,Bloomberg
International summit focuses on human rights,International summit focuses on human rights,Politics,2025-10-05,AP
"Australia announces new environmental policy, effective Q3","Australia announces new environmental policy, effective Q3",Politics,2025-08-06,CNN
Senator nominee faces scrutiny over rule changes,Senator nominee faces scrutiny over rule changes,Politics,2024-12-23,AP
Diplomatic tensions rise between China and UK over schedulin...,Diplomatic tensions rise between China and UK over scheduling conflicts,Politics,2025-02-08,Reuters
President meets with President to discuss security,President meets with President to discuss security,Politics,2025-09-07,Bloomberg
Protests erupt in Paris demanding workers' rights,Protests erupt in Paris demanding workers' rights,Politics,2025-06-12,Bloomberg
Diplomatic tensions rise between Australia and India over sc...,Diplomatic tensions rise between Australia and India over scheduling conflicts,Politics,2025-08-31,Reuters
International summit focuses on pandemic response,International summit focuses on pandemic response,Politics,2025-06-15,NYT
New legislation proposed to address doping allegations,New legislation proposed to address doping allegations,Politics,2025-03-03,CNN
"China announces new environmental policy, effective Q3","China announces new environmental policy, effective Q3",Politics,2025-04-15,Bloomberg
Coalition government formed in UK after Grand Slam,Coalition government formed in UK after Grand Slam,Politics,2025-08-13,AP
President meets with President to discuss security,President meets with President to discuss security,Politics,2025-04-09,Bloomberg
Diplomatic tensions rise between Canada and Australia over d...,Diplomatic tensions rise between Canada and Australia over doping allegations,Politics,2025-09-17,Bloomberg
New legislation proposed to address scheduling conflicts,New legislation proposed to address scheduling conflicts,Politics,2025-05-08,Reuters
International summit focuses on pandemic response,International summit focuses on pandemic response,Politics,2025-03-26,BBC
